Location,Date,Year,Month,NewCases,NewDeaths,HospitalPatients,Vaccinations
United States,23/01/2020 00:00,2020,January,0,,,
France,24/01/2020 00:00,2020,January,2,,,
United States,24/01/2020 00:00,2020,January,1,,,
France,25/01/2020 00:00,2020,January,1,,,
United States,25/01/2020 00:00,2020,January,0,,,
Canada,26/01/2020 00:00,2020,January,1,,,
France,26/01/2020 00:00,2020,January,0,,,
United States,26/01/2020 00:00,2020,January,3,,,
Canada,27/01/2020 00:00,2020,January,0,,,
France,27/01/2020 00:00,2020,January,0,,,
Germany,27/01/2020 00:00,2020,January,1,,,
United States,27/01/2020 00:00,2020,January,0,,,
Canada,28/01/2020 00:00,2020,January,1,,,
France,28/01/2020 00:00,2020,January,1,,,
Germany,28/01/2020 00:00,2020,January,3,,,
United States,28/01/2020 00:00,2020,January,0,,,
Canada,29/01/2020 00:00,2020,January,0,,,
Finland,29/01/2020 00:00,2020,January,1,,,
France,29/01/2020 00:00,2020,January,1,,,
Germany,29/01/2020 00:00,2020,January,0,,,
United States,29/01/2020 00:00,2020,January,1,,,
Canada,30/01/2020 00:00,2020,January,0,,,
Finland,30/01/2020 00:00,2020,January,0,,,
France,30/01/2020 00:00,2020,January,0,,,
Germany,30/01/2020 00:00,2020,January,0,,,
United States,30/01/2020 00:00,2020,January,0,,,
Canada,31/01/2020 00:00,2020,January,2,,,
Finland,31/01/2020 00:00,2020,January,0,,,
France,31/01/2020 00:00,2020,January,0,,,
Germany,31/01/2020 00:00,2020,January,1,,,
Italy,31/01/2020 00:00,2020,January,2,,,
Russia,31/01/2020 00:00,2020,January,2,,,
United Kingdom,31/01/2020 00:00,2020,January,2,,,
United States,31/01/2020 00:00,2020,January,2,,,
Canada,01/02/2020 00:00,2020,February,0,,,
Finland,01/02/2020 00:00,2020,February,0,,,
France,01/02/2020 00:00,2020,February,1,,,
Germany,01/02/2020 00:00,2020,February,3,,,
Italy,01/02/2020 00:00,2020,February,0,,,
Russia,01/02/2020 00:00,2020,February,0,,,
Spain,01/02/2020 00:00,2020,February,1,,,
Sweden,01/02/2020 00:00,2020,February,1,,,
United Kingdom,01/02/2020 00:00,2020,February,0,,,
United States,01/02/2020 00:00,2020,February,0,,,
Canada,02/02/2020 00:00,2020,February,0,,,
Finland,02/02/2020 00:00,2020,February,0,,,
France,02/02/2020 00:00,2020,February,0,,6,
Germany,02/02/2020 00:00,2020,February,2,,,
Italy,02/02/2020 00:00,2020,February,0,,,
Russia,02/02/2020 00:00,2020,February,0,,,
Spain,02/02/2020 00:00,2020,February,0,,,
Sweden,02/02/2020 00:00,2020,February,0,,,
United Kingdom,02/02/2020 00:00,2020,February,0,,,
United States,02/02/2020 00:00,2020,February,0,,,
Canada,03/02/2020 00:00,2020,February,0,,,
Finland,03/02/2020 00:00,2020,February,0,,,
France,03/02/2020 00:00,2020,February,0,,6,
Germany,03/02/2020 00:00,2020,February,2,,,
Italy,03/02/2020 00:00,2020,February,0,,,
Russia,03/02/2020 00:00,2020,February,0,,,
Spain,03/02/2020 00:00,2020,February,0,,,
Sweden,03/02/2020 00:00,2020,February,0,,,
United Kingdom,03/02/2020 00:00,2020,February,6,,,
United States,03/02/2020 00:00,2020,February,3,,,
Belgium,04/02/2020 00:00,2020,February,1,,,
Canada,04/02/2020 00:00,2020,February,0,,,
Finland,04/02/2020 00:00,2020,February,0,,,
France,04/02/2020 00:00,2020,February,0,,6,
Germany,04/02/2020 00:00,2020,February,0,,,
Italy,04/02/2020 00:00,2020,February,0,,,
Russia,04/02/2020 00:00,2020,February,0,,,
Spain,04/02/2020 00:00,2020,February,0,,,
Sweden,04/02/2020 00:00,2020,February,0,,,
United Kingdom,04/02/2020 00:00,2020,February,0,,,
United States,04/02/2020 00:00,2020,February,0,,,
Belgium,05/02/2020 00:00,2020,February,0,,,
Canada,05/02/2020 00:00,2020,February,1,,,
Finland,05/02/2020 00:00,2020,February,0,,,
France,05/02/2020 00:00,2020,February,0,,6,
Germany,05/02/2020 00:00,2020,February,0,,,
Italy,05/02/2020 00:00,2020,February,0,,,
Russia,05/02/2020 00:00,2020,February,0,,,
Spain,05/02/2020 00:00,2020,February,0,,,
Sweden,05/02/2020 00:00,2020,February,0,,,
United Kingdom,05/02/2020 00:00,2020,February,1,,,
United States,05/02/2020 00:00,2020,February,0,,,
Belgium,06/02/2020 00:00,2020,February,0,,,
Canada,06/02/2020 00:00,2020,February,0,,,
Finland,06/02/2020 00:00,2020,February,0,,,
France,06/02/2020 00:00,2020,February,0,,6,
Germany,06/02/2020 00:00,2020,February,0,,,
Italy,06/02/2020 00:00,2020,February,0,,,
Russia,06/02/2020 00:00,2020,February,0,,,
Spain,06/02/2020 00:00,2020,February,0,,,
Sweden,06/02/2020 00:00,2020,February,0,,,
United Kingdom,06/02/2020 00:00,2020,February,0,,,
United States,06/02/2020 00:00,2020,February,1,,,
Belgium,07/02/2020 00:00,2020,February,0,,,
Canada,07/02/2020 00:00,2020,February,2,,,
Finland,07/02/2020 00:00,2020,February,0,,,
France,07/02/2020 00:00,2020,February,0,,11,
Germany,07/02/2020 00:00,2020,February,1,,,
Italy,07/02/2020 00:00,2020,February,1,,,
Russia,07/02/2020 00:00,2020,February,0,,,
Spain,07/02/2020 00:00,2020,February,0,,,
Sweden,07/02/2020 00:00,2020,February,0,,,
United Kingdom,07/02/2020 00:00,2020,February,0,,,
United States,07/02/2020 00:00,2020,February,0,,,
Belgium,08/02/2020 00:00,2020,February,0,,,
Canada,08/02/2020 00:00,2020,February,0,,,
Finland,08/02/2020 00:00,2020,February,0,,,
France,08/02/2020 00:00,2020,February,5,,11,
Germany,08/02/2020 00:00,2020,February,0,,,
Italy,08/02/2020 00:00,2020,February,0,,,
Russia,08/02/2020 00:00,2020,February,0,,,
Spain,08/02/2020 00:00,2020,February,0,,,
Sweden,08/02/2020 00:00,2020,February,0,,,
United Kingdom,08/02/2020 00:00,2020,February,4,,,
United States,08/02/2020 00:00,2020,February,0,,,
Belgium,09/02/2020 00:00,2020,February,0,,,
Canada,09/02/2020 00:00,2020,February,0,,,
Finland,09/02/2020 00:00,2020,February,0,,,
France,09/02/2020 00:00,2020,February,0,,11,
Germany,09/02/2020 00:00,2020,February,1,,,
Italy,09/02/2020 00:00,2020,February,0,,,
Russia,09/02/2020 00:00,2020,February,0,,,
Spain,09/02/2020 00:00,2020,February,1,,,
Sweden,09/02/2020 00:00,2020,February,0,,,
